n threads,time,speedup
1,91.2367,1
2,47.0126,1.94069
3,31.5115,2.89535
4,25.3862,3.59395
5,20.0638,4.54732
6,16.4796,5.53635
7,14.6566,6.22495
8,12.7496,7.15606
9,12.5211,7.28662
10,10.9495,8.3325
11,10.8868,8.38049
12,10.2935,8.8635
13,10.2289,8.91954
14,10.2237,8.92407
15,9.98776,9.13486
16,9.37061,9.73648
17,9.45033,9.65434
18,9.41858,9.68689
19,9.18698,9.93109
20,9.10132,10.0246
100001,499359,4.99354e-05
