n threads,time,speedup
1,2.66344,1
2,0.901191,2.95547
3,0.612992,4.34498
4,0.542391,4.91055
5,0.419476,6.34944
6,0.347427,7.66619
7,0.313502,8.49576
8,0.276992,9.61557
9,0.246464,10.8066
10,0.221945,12.0005
11,0.199377,13.3588
12,0.189257,14.0731
13,0.175544,15.1725
14,0.163167,16.3234
15,0.14865,17.9175
16,0.141979,18.7594
17,0.131556,20.2457
18,0.133431,19.9612
19,0.130157,20.4632
20,0.125216,21.2708
14341,9041364,0.0439648
