n threads,time,speedup
1,12.2943,1
2,8.77356,1.40129
3,5.62662,2.18502
4,4.20635,2.92279
5,3.25695,3.77479
6,2.50962,4.89887
7,2.40897,5.10356
8,2.16489,5.67895
9,1.92352,6.39156
10,1.74366,7.05087
11,1.6089,7.64145
12,1.47916,8.31169
13,1.4093,8.7237
14,1.32247,9.29644
15,1.23972,9.917
16,1.18304,10.3921
17,1.13134,10.8671
18,1.04894,11.7207
19,1.02553,11.9882
20,0.974848,12.6115
