n threads,time,speedup
1,248.885,1
2,133.218,1.86825
3,90.4168,2.75264
4,70.5679,3.52688
5,56.7212,4.38786
6,48.3038,5.15249
7,39.9314,6.23281
8,35.5685,6.99734
9,32.9523,7.55288
10,29.9742,8.30331
11,29.4838,8.44141
12,27.9627,8.90061
13,27.2623,9.12928
14,26.2807,9.47027
15,26.4411,9.41279
16,25.4957,9.76182
17,25.2067,9.87375
18,24.2619,10.2583
19,24.1518,10.305
20,23.3402,10.6634
434103,16036720,8.51003e-05
