n threads,time,speedup
1,2.10238,1
2,1.13517,1.85205
3,0.763683,2.75295
4,0.580051,3.62448
5,0.461203,4.55847
6,0.401409,5.23751
7,0.34587,6.07854
8,0.299801,7.01259
9,0.272241,7.7225
10,0.237855,8.83893
11,0.22078,9.52254
12,0.201333,10.4423
13,0.186896,11.249
14,0.179637,11.7035
15,0.172512,12.1869
16,0.16867,12.4645
17,0.169904,12.374
18,0.171712,12.2436
19,0.169083,12.434
20,0.163538,12.8556
8298,103689,0.00150605
