n threads,time,speedup
1,239.4,1
2,139.248,1.71923
3,90.4179,2.6477
4,68.2834,3.50597
5,55.8067,4.2898
6,45.1209,5.30574
7,39.5062,6.05979
8,32.7442,7.31122
9,34.4285,6.95353
10,31.4916,7.60203
11,29.5134,8.11156
12,28.345,8.44591
13,27.9826,8.5553
14,23.7374,10.0853
15,24.1215,9.92474
16,24.777,9.66218
17,23.7742,10.0697
18,24.0881,9.93848
19,23.3809,10.2391
20,23.0008,10.4083
227321,814134,1.5755e-05
