n threads,time,speedup
1,36.2829,1
2,17.6605,2.05446
3,11.9796,3.02872
4,9.26266,3.91712
5,7.32088,4.95608
6,5.9295,6.11905
7,5.08604,7.13382
8,4.50742,8.04959
9,4.58512,7.91319
10,4.55638,7.9631
11,4.41014,8.22715
12,4.26293,8.51126
13,4.08536,8.8812
14,3.98602,9.10255
15,4.01191,9.04379
16,3.83435,9.4626
17,3.7039,9.79586
18,3.54244,10.2424
19,3.48674,10.406
20,3.49013,10.3959
22687,54705,0.00010629
