n threads,time,speedup
1,13.363,1
2,7.02683,1.90171
3,5.69739,2.34546
4,5.85975,2.28048
5,5.90967,2.26121
6,6.09532,2.19234
7,5.70716,2.34145
8,5.87697,2.27379
9,5.7334,2.33073
10,5.77422,2.31426
11,5.88362,2.27123
12,6.08504,2.19605
