n threads,time,speedup
1,1.34589,1
2,0.290845,4.62752
3,0.209078,6.43726
4,0.170468,7.89526
5,0.152202,8.84278
6,0.143359,9.38825
7,0.1365,9.86002
8,0.131513,10.2339
9,0.131325,10.2486
10,0.128386,10.4832
11,0.126453,10.6434
12,0.136199,9.88177
