n threads,time,speedup
1,0.278926,1
2,0.131187,2.12617
3,0.091886,3.03556
4,0.0720849,3.86941
5,0.0613134,4.54918
6,0.058117,4.79938
7,0.0539712,5.16804
8,0.0505902,5.51343
9,0.0525774,5.30505
10,0.0527985,5.28283
11,0.0517712,5.38766
12,0.0562137,4.96188
