n threads,time,speedup
1,39.5901,1
2,20.533,1.92812
3,14.7966,2.67562
4,13.9673,2.83449
5,14.1658,2.79476
6,14.51,2.72847
7,14.7618,2.68193
8,14.9913,2.64086
9,15.1396,2.615
10,15.2659,2.59336
11,15.3485,2.57941
12,15.4158,2.56815
