n threads,time,speedup
1,6.08611,1
2,3.38585,1.79751
3,2.35934,2.57958
4,1.99752,3.04683
5,1.90694,3.19155
6,1.93835,3.13984
7,2.18445,2.78611
8,2.27798,2.67172
9,2.30287,2.64283
10,2.39116,2.54526
11,3.04213,2.00061
12,2.91461,2.08814
