n threads,time,speedup
1,0.767983,1
2,0.434586,1.76716
3,0.302117,2.542
4,0.257276,2.98506
5,0.241918,3.17456
6,0.241287,3.18285
7,0.241252,3.18333
8,0.241848,3.17547
9,0.243188,3.15797
10,0.253237,3.03267
11,0.25052,3.06556
12,0.253126,3.034
