n threads,time,speedup
1,18.0117,1
2,8.81631,2.043
3,5.7766,3.11805
4,4.41234,4.08213
5,3.55578,5.06548
6,3.15304,5.7125
7,2.66467,6.75947
8,2.3115,7.79222
9,2.068,8.70976
10,1.92335,9.3648
11,1.80921,9.9556
12,1.64673,10.9379
13,1.57634,11.4263
14,1.49487,12.0491
15,1.41436,12.7349
16,1.3904,12.9543
17,1.4243,12.646
18,1.40477,12.8218
19,1.37385,13.1104
20,1.33651,13.4767
