n threads,time,speedup
1,0.776522,1
2,0.364089,2.13278
3,0.244029,3.18209
4,0.18788,4.13307
5,0.146232,5.3102
6,0.124771,6.22358
7,0.105481,7.36175
8,0.0925121,8.39374
9,0.0889571,8.72917
10,0.0826237,9.39829
11,0.0776437,10.0011
12,0.0686167,11.3168
13,0.0638346,12.1646
14,0.0589866,13.1644
15,0.0561116,13.8389
16,0.0548187,14.1653
17,0.0521589,14.8876
18,0.0569002,13.6471
19,0.0500282,15.5217
20,0.0485611,15.9906
